Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
ASSOCIAZIONE VERONA FABLAB;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA; FABLAB - ALTERNALAB - ROBOTICA\n\n\n\n\n;Gli studenti acquisiranno le competenze di base dell’elettronica, della programmazione e della meccanica.\n\n\n\n
RTC SPA;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
CASA DI RIPOSO B. ALBERTINI;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;direzione@cralbertini.it;0457301562;VR;VIA DEL DONATORE DI SANGUE - ISOLA DELLA SCALA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
RTC SPA;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
ASSOCIAZIONE VERONA FABLAB;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA; FABLAB - ALTERNALAB - ROBOTICA\n\n\n\n\n;Gli studenti acquisiranno le competenze di base dell’elettronica, della programmazione e della meccanica.\n\n\n\n
INTESYS  S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;alessandro.cortiana@intesys.it;0458205513;VR;VIA ROVEGGIA, 3 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
PROVINCIA DI VERONA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;0459288386;VR;VIA DELLE FRANCESCHINE,10 - VERONA;INF05 - Addetto al customer care\n\n\n\n;Le professioni classificate in questa unità assistono i clienti e forniscono supporto tecnico sia telefonicamente che con intervento diretto, occupandosi del trouble-shooting, dell’installazione, configurazione e manutenzione di hardware e software, con particolare riguardo alla gestione della relazione con il cliente, dei contratti di manutenzione e delle norme relative alla sicurezza nell’ambiente di lavoro.\n
ISTITUTO COMPRENSIVO BOSCO CHIESANUOVA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;segreteria@istitutobosco.it;045/6780521;VR;PIAZZETTA ALPINI, 5 - BOSCO CHIESANUOVA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
OFFICINA MECCANICA ELETTRAUTO F.LLI CHESINI C. E  V. SNC;5AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;officinachesini@libero.it;;VR;VIA CORNO MOZZO 14 - PESCANTINA;;
HYPHEN - ITALIA S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;saraceno.a@hypen-italia.com;0456203200;VR;VIA MARCONI, 14 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
FINCONS SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;michele.moretti@finconsgroup.com;0458799299;MI;CORSO MAGENTA, N. 56 - MILANO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
VICENTINI SPA;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
TELEFIN SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@telefin.it;0458100404;VR;VIA ALBERE, 87/A - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
TERMINALI ITALIA S.R.L. FF.SS;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@terminaliitalia.it;0458624411;VR;VIA SOMMACAMPAGNA 32 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
ZANONI ARCHITETTO PAOLO STUDIO ARCHITETTURA;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;studio@paolozanoni.it;0456703979;VR;VIA DANTE ALIGHIERI 10 - BUSSOLENGO;;
ATTUA S.R.L.;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@attua.it;045/8271211;VR;VIA ROVEGGIA, 43 - VERONA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n\n
RFI RETE FERROVIARIA ITALIANA;5AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;;;VR;Piazzale XXV Aprile - VERONA;ELN02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n
OFFICINA GELIO GIORGIO SRL;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;;;VR;VIALE DELL'INDUSTRIA, 20 - VIGASIO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
FORNACE S.R.L.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@fornacestudio.com;0456800977;VR;VIA ISONZO ,11 - VERONA;;
ASSOCIAZIONE VERONA FABLAB;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;;
FAIRMAT SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@fairmat.com;0458012030;VR;STRADONE SAN FERMO ,21 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
HIKARI SRL;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;amministrazione@hikavi.eu;0458018058;VR;VIA MIRANDOLA 37A - PESCANTINA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
JUST ITALIA SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;just@just.it;0458658111;VR;VIA COLOGNE,12 - GREZZANA;LOG03 Tecnico della gestione dei processi produttivi di beni e servizi\n\n\n\n\n\n\n\n;Applicano procedure, regolamenti e tecnologie proprie per gestire, controllare, organizzare e garantire l'efficienza e la corretta erogazione dei servizi e ne verificano la qualità\n\n\n\n\n\n\n\n
M.C.E. MECCANICA SRL;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@mce-meccanica.com;;VR;STRADA DELLA GENOVESA, 39 - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
RTC SPA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
UNIVERSITA' DEGLI STUDI DI VERONA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;segreteria.di@ateneo.univr.it ;0458027071;VR;STRADA LE GRAZIE 8 - VERONA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
RTC SPA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
ASSOCIAZIONE VERONA FABLAB;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
PHONELAB;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;;0456084062;VR;VIA TRENTINO 1 - SONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
CREACTIVES S.P.A.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;serena.bevilacqua@creactives.com;0456261357;VR;VIA  ENRICO FERMI 4 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
HOME INNOVATION SRL;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@homeinnovation;0454858682;VR;VIA MARIN FALIERO 50 - VERONA;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
VI.BE.MAC. S.P.A.;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;accounting@vbm-grp.com;0458778151;VR;VIA MONTE PASTELLO, 7/I - SAN GIOVANNI LUPATOTO;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
VICENTINI SPA;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n
TOR MEC AMBROSI S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;tormec@legalmail.it;0456050205;VR;VIA MAESTRI DEL LAVORO,16 - ZEVIO;ELE10 - PROGETTISTA SVILUPPATORE DI SISTEMI ELETTRONICI PROGRAMMABILI\n\n;Opera nella progettazione e sviluppo di sistemi elettronici programmabili. Utilizza CAD elettronici per la stesura di schemi elettrici e per sviluppo PCB. Sviluppa programmi per il test ed il collaudo del prototipo del sistema.\n\n\n
FABBRIS MOTO SNC;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;amministrazione@fabbrismoto.com;0458902408 ;VR;VIA DON GREGORIO SEGALA 42 - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
TECNOLOGIE SRL;3AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@computerverona.it;3497782095;VR;VIA DELL'INDUSTRIA 11 - GREZZANA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
GARDALAND SRL;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;hr@gardaland.it;0456449839;VR;VIA DERNA 4 - CASTELNUOVO DEL GARDA;ELE05 - INSTALLATORE/MANUTENTORE DI IMPIANTI/SISTEMI DI AUTOMAZIONE.\n\n\n;la figura si prefigge di: leggere e creare schemi elettrici, topografici, planimetrici anche con l'ausilio di strumenti informatici collaborare nella messa a punto degli impianti elettrici, nella regolazione delle apparecchiature e nella fase di collaudo eseguire l'installazione di impianti elettrici, delle verifiche, della ricerca di eventuali anomalie e loro riparazione analizzare la documentazione tecnica, i capitolati e le specifiche del committente programmare automatismi di comando e movimentazione con PLC.\n\n\n
